date_in_ms,price,time,calendar_week
1553126400000,404.557.263.350.974,2019-03-21 01:00:00.000,12
1553212800000,3.983.317.781.297.360,2019-03-22 01:00:00.000,12
1553299200000,39.891.584.912.154.500,2019-03-23 01:00:00.000,12
1553385600000,4.008.945.386.314.750,2019-03-24 01:00:00.000,12
1553472000000,3.993.394.900.459.540,2019-03-25 01:00:00.000,13
1553558400000,3.927.577.296.521.430,2019-03-26 01:00:00.000,13
1553644800000,3.938.659.743.156.940,2019-03-27 01:00:00.000,13
1553731200000,40.361.609.179.207.600,2019-03-28 01:00:00.000,13
1553817600000,40.283.913.011.796.200,2019-03-29 01:00:00.000,13
1553904000000,4.103.322.859.513.960,2019-03-30 01:00:00.000,13
1553990400000,4.103.856.421.333.920,2019-03-31 01:00:00.000,13
1554076800000,4.103.521.738.549.330,2019-04-01 02:00:00.000,14
1554163200000,4.146.321.927.706.630,2019-04-02 02:00:00.000,14
1554249600000,4.862.230.427.766.910,2019-04-03 02:00:00.000,14
1554336000000,4.955.831.824.018.290,2019-04-04 02:00:00.000,14
1554422400000,4.899.021.553.783.280,2019-04-05 02:00:00.000,14
1554508800000,5.014.955.826.888.760,2019-04-06 02:00:00.000,14
1554595200000,5.041.869.075.888.300,2019-04-07 02:00:00.000,14
1554681600000,517.697.788.362.072,2019-04-08 02:00:00.000,15
1554768000000,526.689.477.647.303,2019-04-09 02:00:00.000,15
1554854400000,51.721.752.647.597.000,2019-04-10 02:00:00.000,15
1554940800000,5.308.905.683.164.440,2019-04-11 02:00:00.000,15
1555027200000,504.779.316.241.402,2019-04-12 02:00:00.000,15
1555113600000,508.246.515.242.293,2019-04-13 02:00:00.000,15
1555200000000,5.072.987.191.337.880,2019-04-14 02:00:00.000,15
1555286400000,5.149.314.492.798.120,2019-04-15 02:00:00.000,16
1555372800000,5.039.881.017.404.400,2019-04-16 02:00:00.000,16
1555459200000,5.213.598.376.962.080,2019-04-17 02:00:00.000,16
1555545600000,5.218.957.150.384.520,2019-04-18 02:00:00.000,16
1555632000000,5.274.767.013.336.500,2019-04-19 02:00:00.000,16
1555718400000,5.280.354.444.383.000,2019-04-20 02:00:00.000,16
1555804800000,5.307.689.183.437.130,2019-04-21 02:00:00.000,16
1555891200000,5.311.164.840.299.270,2019-04-22 02:00:00.000,17
1555977600000,5.380.935.789.575.580,2019-04-23 02:00:00.000,17
1556064000000,55.579.257.276.108.300,2019-04-24 02:00:00.000,17
1556150400000,5.452.101.753.394.460,2019-04-25 02:00:00.000,17
1556236800000,5.203.088.598.730.700,2019-04-26 02:00:00.000,17
