Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD,calendar_week
2019-12-15,LTCUSD,43.35,43.35,43.28,43.28,0.0,0.0,50
2019-12-14,LTCUSD,44.26,44.49,43.28,43.35,2407.04,104705.42,50
2019-12-13,LTCUSD,43.63,44.49,43.45,44.26,6384.73,280579.99,50
2019-12-12,LTCUSD,43.62,43.98,42.76,43.63,5267.42,229023.45,50
2019-12-11,LTCUSD,44.16,44.41,43.27,43.62,5964.25,261270.11,50
2019-12-10,LTCUSD,44.46,44.59,43.63,44.16,21463.94,945381.43,50
2019-12-09,LTCUSD,45.61,45.87,44.11,44.46,9108.24,410899.59,50
2019-12-08,LTCUSD,45.19,46.25,44.94,45.61,2575.89,117525.38,49
2019-12-07,LTCUSD,45.44,46.62,45.07,45.19,10289.92,474489.49,49
2019-12-06,LTCUSD,44.83,45.54,44.14,45.44,8250.33,372221.07,49
2019-12-05,LTCUSD,44.67,45.18,43.74,44.83,16779.67,744771.29,49
2019-12-04,LTCUSD,44.75,47.12,43.62,44.67,27018.98,1223055.29,49
2019-12-03,LTCUSD,45.57,46.27,44.39,44.75,9728.9,442614.59,49
2019-12-02,LTCUSD,47.64,47.64,44.8,45.57,6773.11,310339.38,49
2019-12-01,LTCUSD,47.37,48.3,45.7,47.64,3147.25,147876.53,48
2019-11-30,LTCUSD,48.73,48.82,46.79,47.37,4477.19,213396.66,48
2019-11-29,LTCUSD,47.08,49.36,46.96,48.73,11181.72,543689.2,48
2019-11-28,LTCUSD,47.93,48.04,46.28,47.08,5569.15,264762.71,48
2019-11-27,LTCUSD,47.0,48.64,44.77,47.93,12316.12,580691.44,48
2019-11-26,LTCUSD,45.56,47.42,45.54,47.0,4919.39,228579.41,48
2019-11-25,LTCUSD,43.92,47.5,42.24,45.56,13643.03,614062.81,48
2019-11-24,LTCUSD,48.28,48.33,43.64,43.92,2757.89,126561.65,47
2019-11-23,LTCUSD,47.73,48.64,46.41,48.28,3167.62,149963.23,47
2019-11-22,LTCUSD,50.68,51.69,43.65,47.73,19150.02,905073.25,47
2019-11-21,LTCUSD,54.9,55.09,48.22,50.68,20030.83,1028402.2,47
2019-11-20,LTCUSD,54.99,56.1,54.63,54.9,5726.26,317430.39,47
2019-11-19,LTCUSD,55.95,56.16,54.29,54.99,8660.31,476061.58,47
2019-11-18,LTCUSD,59.23,59.25,53.8,55.95,15508.4,859070.05,47
2019-11-17,LTCUSD,58.3,59.83,57.62,59.23,1606.34,94726.88,46
2019-11-16,LTCUSD,57.53,58.82,57.19,58.3,2138.92,124055.4,46
2019-11-15,LTCUSD,58.9,60.63,56.24,57.53,18729.16,1084069.01,46
2019-11-14,LTCUSD,60.89,60.97,58.2,58.9,8293.98,491190.26,46
2019-11-13,LTCUSD,61.26,61.97,60.17,60.89,8102.37,492245.98,46
2019-11-12,LTCUSD,61.76,62.18,59.6,61.26,9950.75,605672.88,46
