Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,calendar_week
2019-12-15,BTCUSD,7074.64,7074.64,7056.46,7056.46,0.0,0.0,50
2019-12-14,BTCUSD,7250.14,7265.4,7010.01,7074.64,451.64,3230712.85,50
2019-12-13,BTCUSD,7193.42,7297.6,7193.42,7250.14,599.86,4346965.97,50
2019-12-12,BTCUSD,7200.5,7299.39,7082.93,7193.42,874.33,6291003.66,50
2019-12-11,BTCUSD,7221.4,7267.84,7130.0,7200.5,729.61,5251599.7,50
2019-12-10,BTCUSD,7340.21,7395.0,7167.5,7221.4,610.05,4437108.77,50
2019-12-09,BTCUSD,7528.05,7652.0,7287.09,7340.21,991.53,7411846.4,50
2019-12-08,BTCUSD,7500.0,7575.25,7392.54,7528.05,315.24,2362732.53,49
2019-12-07,BTCUSD,7543.71,7636.39,7480.0,7500.0,478.54,3609680.26,49
2019-12-06,BTCUSD,7393.19,7607.07,7305.0,7543.71,930.51,6942049.92,49
2019-12-05,BTCUSD,7192.73,7485.0,7160.75,7393.19,1172.91,8600567.95,49
2019-12-04,BTCUSD,7301.37,7820.75,7091.59,7192.73,2190.23,16114965.49,49
2019-12-03,BTCUSD,7301.55,7413.27,7245.6,7301.37,865.63,6340876.72,49
2019-12-02,BTCUSD,7400.18,7429.49,7170.01,7301.55,824.62,6016385.23,49
2019-12-01,BTCUSD,7554.19,7554.19,7242.26,7400.18,495.03,3641236.96,48
2019-11-30,BTCUSD,7758.35,7811.38,7463.0,7554.19,753.4,5782531.38,48
2019-11-29,BTCUSD,7430.53,7860.95,7414.79,7758.35,1033.52,7933376.34,48
2019-11-28,BTCUSD,7520.11,7651.63,7375.03,7430.53,752.33,5664293.82,48
2019-11-27,BTCUSD,7162.9,7669.56,6849.95,7520.11,1919.48,14108262.94,48
2019-11-26,BTCUSD,7121.7,7338.99,7028.27,7162.9,1149.11,8193498.76,48
