KW33,KW17,public_interest_stats_alexa_rank,market_data_low_24h_usd,KW12,community_data_facebook_likes,KW36,KW25,KW24,KW5,market_data_ath_usd,KW19,KW8,public_interest_stats_bing_matches,KW39,KW21,KW4,market_data_high_24h_usd,KW38,KW20,KW7,KW30,KW37,developer_data_pull_requests_merged,developer_data_subscribers
0.0021200694938956427,0.0019572477668739906,10926950,0.00167661,0.003920163240067547,25.0,0.002356877018441757,0.003000204405040757,0.003394576725749076,0.0034258341911065,0.03418169,0.0024945855171105767,0.0033475924974657252,23900.0,0.001778674696301052,0.004554956056967425,0.004448657568436192,0.00168653,0.0021662825358147323,0.002871413667397172,0.0037894817924851673,0.0023526725724712675,0.0025350649298760968,28.0,6.0
0.1739528088194773,0.2738523613814914,146664,0.194051,0.2590418901710251,0.0,0.15961035385705513,0.33118881552514,0.3255740929061959,0.25183781639673675,43587.0,0.2556365667764375,0.2495539415872501,686000.0,0.21794407055321546,0.31307275906101345,0.3013833075693377,0.232567,0.22629107696617964,0.3391871943131147,0.22733004112660604,0.2333146489464076,0.16061107287163193,1403.0,89.0
0.0009140279072363043,0.0020468488634000468,1770313,0.00071442,0.0020369241825421627,4485.0,0.0009866124861903753,0.0022958567519834943,0.0027380271051107123,0.0025853178645235844,0.04374969,0.002077448381967968,0.0034137992988272857,27500.0,0.0007445952388706128,0.002112969411494599,0.003343748428290457,0.00076416,0.0009500823096029533,0.002169407206658895,0.0029890089482722602,0.0009886750104156456,0.0006878811046944512,451.0,16.0
0.0,0.0,1197153,0.02113976,0.0,0.0,0.0,0.0,0.0,0.0,43505.0,0.0,0.0,27500.0,0.046199074041999764,0.0,0.0,0.03373354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008870106032193045,0.0,0,0.00088701,0.0,0.0,0.0008870106032193045,0.0008870106032193045,0.0008870106032193045,0.0,0.03084309,0.0,0.0,703000.0,0.0008870106032193045,0.0,0.0,0.00088701,0.0008870106032193045,0.0,0.0,0.0008870106032193045,0.0008870106032193045,0.0,0.0
0.0,0.0,1495657,0.01279571,0.0,0.0,0.03647947129447603,0.0,0.0,0.0,0.129215,0.0,0.0,38200.0,0.012809985128591904,0.0,0.0,0.01398773,0.0207247406092896,0.0,0.0,0.0,0.032100557411631724,0.0,0.0
2.52042e+16,0.7008793198035694,987253,0.8413280000000001,0.4144043205577671,21655.0,3595210000000000.0,1.56459e+16,1353180000000000.0,0.0,17.37,0.8823091436189727,0.0,87200.0,0.9102359040685404,1189200000000000.0,0.0,0.988232,1.04514e+16,1188120000000000.0,0.0,4252160000000000.0,2271580000000000.0,0.0,0.0
0.015222751828888947,0.0,8452066,0.01332844,0.0,757.0,0.042337015493004615,0.00910013834194929,0.0073360353911952015,0.0,0.06802799999999999,0.0,0.0,2020000.0,0.010547609503757105,0.0,0.0,0.01894769,0.05597489005422985,0.0,0.0,0.005931009633954636,0.0,0.0,0.0
0.7220957486710091,0.0,1056786,0.71163,0.0,0.0,0.7207830551545856,0.7366843235092303,0.7339501957500741,0.7395136379677488,0.9719620000000001,0.0,0.7375396733293365,2110000.0,0.7211878410641643,0.7226018691678457,0.7354432313089485,0.731935,0.7185677175723814,0.0,0.7318595549974312,0.7305876985743331,0.7220679731943779,0.0,0.0
0.028411216106846108,0.0182423152505578,0,0.02612508,0.03357915093480149,24120.0,0.02063983436871917,0.02956814685826605,0.0255712635451001,0.017411055832477446,0.622159,0.021260196590968915,0.0,556000.0,0.031003578776593863,0.020736355493356083,0.025467981203789958,0.03241351,0.030579542218789495,0.025561298863497083,0.011770178346937455,0.024123836274986883,0.026003663173621117,0.0,1.0
