labels_categories_0,transaction_count,holder_count,labels_country_origin
26,0,0,79
18,4081.0,2205.0,115
26,1438.0,62.0,79
26,0,0,79
5,28129.0,10598.0,97
5,0,0,14
26,2316.0,240.0,79
26,0,0,79
26,12938.0,1014.0,79
26,30123.0,15431.0,79
14,172806.0,13763.0,39
26,1246.0,328.0,79
26,0,0,111
26,1377284.0,87372.0,101
26,0,0,79
26,12660.0,1837.0,66
26,39944.0,24775.0,79
26,3415.0,326.0,79
37,0,0,111
26,0,0,79
8,0,0,101
26,11659.0,2626.0,79
33,822.0,325.0,34
14,47635.0,21306.0,101
13,2233907.0,24463.0,79
26,915.0,125.0,79
26,0,0,79
15,709.0,347.0,61
26,114998.0,29261.0,79
8,0,0,39
23,0,0,79
14,6.0,6.0,39
26,0,0,79
26,1303367.0,195636.0,79
26,222.0,25.0,79
26,0,0,79
26,0,0,79
23,0,0,79
8,612.0,349.0,101
26,0,0,79
26,6356.0,812.0,79
26,4660.0,1167.0,79
26,0,0,79
10,2537.0,560.0,38
15,9357.0,5906.0,79
26,2951.0,147.0,79
26,0,0,79
26,0,0,111
8,0,0,97
26,0,0,79
26,1230065.0,364844.0,79
26,62011.0,28628.0,79
23,0,0,79
26,14816.0,3264.0,79
23,0,0,79
8,0,0,79
5,58099.0,17455.0,111
26,0,0,79
26,11212.0,2945.0,79
8,0,0,44
26,0,0,79
9,149.0,108.0,14
33,0,0,79
26,10842.0,6106.0,79
26,0,0,79
26,96.0,17.0,44
5,20.0,13.0,69
21,10435.0,2630.0,79
14,0,0,47
26,27.0,2.0,79
4,0,0,61
26,0,0,79
26,446.0,58.0,79
12,0,0,44
26,1108.0,425.0,44
15,35024.0,7551.0,44
34,0,0,120
15,0,0,39
26,686.0,207.0,79
26,0,0,44
26,44867.0,2437.0,34
26,0,0,79
15,0,0,66
26,0,0,79
26,0,0,22
12,0,0,34
8,28641.0,3856.0,101
26,2418.0,657.0,79
13,4752.0,245.0,63
26,0,0,79
14,0.0,0.0,23
26,53402.0,45146.0,79
26,78274.0,11933.0,79
26,57.0,2.0,79
13,38883.0,10437.0,79
26,568.0,32.0,79
14,0,0,37
5,80.0,36.0,79
26,13.0,8.0,79
26,42760.0,15677.0,79
4,17240.0,3031.0,101
15,0,0,79
26,12127.0,1181.0,101
13,1030.0,66.0,79
15,3385.0,415.0,79
8,0,0,51
35,241.0,19.0,79
26,215.0,28.0,79
0,0,0,97
26,118669.0,105866.0,79
26,0,0,79
24,24889.0,13952.0,79
26,20915.0,2284.0,111
26,5876.0,2642.0,34
26,0,0,79
26,0,0,79
26,7380.0,3323.0,34
26,0,0,79
26,0,0,79
26,330.0,309.0,79
26,2522.0,419.0,79
26,0,0,79
26,0,0,79
26,0,0,79
14,33.0,29.0,80
26,0,0,79
15,11525.0,3544.0,27
26,8008.0,1278.0,23
26,0,0,79
26,7345.0,3650.0,79
4,0,0,81
26,30853.0,27790.0,79
14,0,0,31
26,2213.0,640.0,79
14,0,0,79
18,291311.0,220429.0,111
23,0,0,79
26,13390.0,2682.0,79
35,0,0,79
8,0,0,39
8,0,0,79
8,0,0,37
8,0,0,111
26,9790.0,3074.0,79
23,0,0,79
26,0,0,79
26,0.0,0.0,79
26,1875.0,634.0,79
8,1208.0,254.0,79
26,0,0,79
8,12433.0,9756.0,97
8,0,0,79
29,0,0,25
26,0,0,79
26,0,0,79
26,0.0,0.0,79
8,0,0,10
26,0,0,79
15,0,0,39
16,0,0,18
19,0,0,75
8,0,0,79
26,0,0,79
26,0,0,79
23,0,0,79
8,184278.0,8772.0,111
6,0,0,79
8,0,0,79
23,0,0,79
26,0,0,79
23,0,0,79
37,0,0,79
26,0,0,79
11,0,0,81
8,6722.0,5386.0,13
26,0,0,22
8,0,0,79
23,0,0,79
27,5457.0,1073.0,19
28,0,0,79
26,0,0,79
26,359.0,164.0,69
26,0,0,79
26,0,0,79
28,0,0,79
26,0,0,79
26,477.0,37.0,79
26,0,0,79
8,0,0,79
14,0,0,79
26,0,0,79
14,99.0,32.0,79
26,3905.0,908.0,79
32,24368.0,625.0,111
8,0,0,31
8,4106.0,889.0,56
26,0,0,31
26,3448.0,667.0,79
26,0,0,79
27,810.0,132.0,38
26,669.0,101.0,79
26,0,0,79
8,0,0,79
26,0,0,79
28,0,0,79
28,0,0,79
26,0,0,81
5,7663.0,3411.0,101
26,0,0,79
26,0,0,79
26,0,0,79
26,121698.0,74738.0,66
14,0,0,75
26,32700.0,12861.0,79
26,0,0,79
8,3859.0,1724.0,111
31,10494.0,1253.0,51
14,10607.0,3481.0,101
13,2219.0,1876.0,79
26,1305.0,1128.0,79
26,10456.0,5592.0,101
8,0,0,56
26,0,0,79
8,0,0,111
15,0,0,25
26,0,0,79
23,0,0,79
23,0,0,22
13,3389.0,2204.0,79
26,25141.0,1410.0,79
13,81.0,4.0,79
26,1307.0,1101.0,79
26,47.0,21.0,79
26,56399.0,46475.0,79
26,0,0,79
13,85059.0,8526.0,63
26,11946.0,10122.0,79
26,466455.0,130867.0,79
8,0,0,39
22,2940.0,1459.0,23
26,0,0,79
26,0,0,79
26,0,0,79
26,0,0,79
9,23578.0,12752.0,75
8,107.0,20.0,88
26,711.0,163.0,79
26,76482.0,65012.0,79
26,205170.0,20794.0,79
23,0,0,79
26,2157.0,1433.0,79
23,0,0,79
33,22300.0,13027.0,101
26,228.0,44.0,79
26,7762.0,452.0,79
26,1168.0,106.0,79
33,27687.0,3419.0,101
13,46036.0,3305.0,44
23,0,0,79
8,0,0,8
13,0,0,79
26,0,0,79
26,1021.0,191.0,79
8,0,0,79
26,0,0,79
26,0,0,79
5,36301.0,11537.0,38
13,17595.0,14052.0,79
26,0,0,79
26,0,0,79
8,1407.0,545.0,39
26,44129.0,13517.0,79
26,0,0,79
8,0,0,39
29,0,0,101
37,0,0,89
26,0,0,79
26,0,0,79
26,13959.0,7902.0,101
26,0,0,79
26,0.0,0.0,79
8,0.0,0.0,22
26,0.0,0.0,22
26,85747.0,72451.0,79
5,0,0,48
26,0,0,79
26,0,0,79
8,9764.0,9594.0,51
26,0,0,79
26,0,0,79
26,0,0,23
8,0,0,56
13,2546.0,1023.0,79
8,9317.0,755.0,111
5,0,0,101
5,19831.0,4486.0,101
4,0,0,101
26,227.0,8.0,79
13,6250.0,795.0,79
26,0,0,79
26,52025.0,6326.0,79
26,0,0,79
26,0,0,79
26,0,0,79
8,0,0,111
26,0,0,79
6,0,0,79
12,20019.0,20010.0,25
8,0,0,97
5,598.0,193.0,79
5,15400.0,2082.0,111
14,2768.0,1538.0,39
12,0,0,39
27,16044.0,1711.0,79
10,134.0,75.0,27
24,12112.0,9478.0,34
26,0,0,79
26,88.0,24.0,79
26,92085.0,30963.0,79
26,3973.0,432.0,79
14,1.0,1.0,79
26,3969.0,2838.0,79
26,0,0,79
8,2040.0,531.0,89
26,16730.0,5620.0,79
26,0,0,79
26,6557.0,945.0,79
26,144761.0,12702.0,79
26,110.0,12.0,79
37,0,0,10
37,998.0,552.0,34
26,825.0,285.0,49
5,15464.0,8140.0,9
26,104313.0,19766.0,79
7,2018.0,512.0,76
23,0,0,79
26,5960.0,930.0,79
37,0,0,39
26,6822.0,5472.0,79
9,46385.0,9340.0,81
26,4427.0,332.0,79
26,0,0,111
8,0,0,89
26,22066.0,2850.0,81
26,11495.0,3362.0,79
26,52642.0,7113.0,111
26,0,0,79
5,0,0,44
14,64812.0,18129.0,111
26,127611.0,17132.0,79
26,46333.0,4164.0,79
26,560.0,300.0,79
26,737.0,175.0,79
26,0,0,79
5,0,0,25
26,10089.0,7937.0,79
4,12341.0,3202.0,101
33,122856.0,23708.0,101
13,12988.0,397.0,25
26,6471.0,2022.0,79
6,0,0,80
26,16.0,8.0,79
13,2380.0,367.0,79
8,111.0,46.0,107
26,0,0,79
26,9314.0,5208.0,40
26,0,0,79
26,1787.0,332.0,79
26,0,0,79
14,50006.0,17650.0,44
26,1138.0,293.0,80
26,22959.0,3463.0,79
16,4194.0,3582.0,34
8,1068.0,307.0,109
8,37237.0,3007.0,111
26,0,0,79
26,66720.0,2193.0,79
8,0,0,79
26,27693.0,10096.0,79
26,0,0,79
9,15139.0,1205.0,81
0,3792.0,1630.0,111
8,0,0,79
24,2534.0,2054.0,101
26,53695.0,10158.0,79
26,0,0,79
37,1299.0,578.0,23
26,0,0,79
26,0,0,79
26,0,0,79
26,65645.0,15794.0,79
0,7557.0,4105.0,101
12,881.0,435.0,101
26,44529.0,19943.0,79
26,28326.0,4617.0,39
26,381.0,294.0,22
26,0,0,79
26,1852.0,1242.0,79
26,28286.0,20368.0,79
26,18196.0,3446.0,111
8,0,0,111
26,80584.0,17638.0,79
26,239682.0,146032.0,79
0,434.0,130.0,81
8,5619.0,1794.0,79
26,1719.0,777.0,79
38,0,0,111
26,1.0,2.0,79
8,0,0,18
26,107077.0,20934.0,23
26,0,0,79
26,120.0,72.0,79
26,0,0,79
26,28591.0,19584.0,41
26,11902.0,4335.0,79
13,0,0,79
29,0,0,111
33,0,0,111
26,0,0,79
12,165571.0,54382.0,39
26,2015.0,246.0,79
26,27852.0,15362.0,79
4,3020.0,571.0,44
26,300.0,42.0,79
26,3249.0,619.0,79
26,0,0,79
26,0,0,79
26,3.0,2.0,79
8,0,0,82
26,827.0,207.0,79
26,0,0,79
26,770.0,102.0,79
26,0,0,79
29,2190.0,1621.0,38
26,0,0,79
26,939.0,591.0,79
26,0,0,79
8,11244.0,6107.0,115
18,3888.0,915.0,89
26,169.0,76.0,79
26,36735.0,31313.0,34
26,0,0,79
15,0,0,44
26,543.0,333.0,79
26,0,0,79
18,0,0,25
26,0,0,79
26,14957.0,6442.0,79
26,194.0,22.0,79
32,0,0,79
26,3868.0,882.0,79
26,0,0,79
26,17553.0,5288.0,96
26,794.0,47.0,79
26,5684.0,1280.0,79
8,0,0,64
26,0,0,79
13,0,0,79
32,0,0,79
26,0,0,79
8,0,0,107
8,146.0,37.0,101
32,303014.0,49542.0,25
8,190.0,53.0,111
37,0,0,95
26,89352.0,14078.0,79
26,0,0,79
37,0,0,81
26,12871.0,9055.0,79
26,4527.0,1572.0,79
26,372.0,21.0,79
26,0,0,79
26,0,0,79
26,0,0,79
26,0,0,79
26,0,0,79
26,29646.0,23914.0,79
26,0,0,79
26,0,0,79
8,0,0,79
34,0,0,18
26,0,0,79
26,0,0,79
26,121161.0,102342.0,79
26,3.0,1.0,79
26,0,0,79
26,0,0,79
26,23955.0,6450.0,79
26,117278.0,63548.0,79
26,2431.0,498.0,79
14,13764.0,5034.0,44
26,44015.0,13247.0,79
26,0,0,79
14,2163.0,2023.0,39
26,1164.0,476.0,79
26,9532.0,3792.0,79
26,0,0,79
20,48962.0,28667.0,101
26,1753.0,1046.0,79
27,0,0,111
26,19301.0,17297.0,79
32,0,0,79
8,0,0,18
29,14361.0,6351.0,23
26,0,0,79
26,409.0,196.0,79
18,21648.0,3727.0,102
4,1727.0,302.0,101
4,82165.0,17340.0,61
26,35446.0,3324.0,111
8,0,0,111
26,0,0,39
26,0,0,79
26,0,0,79
26,122.0,108.0,79
26,1124.0,48.0,79
5,2.0,2.0,51
15,3086.0,862.0,97
26,0,0,79
12,11.0,9.0,61
26,0,0,79
23,0,0,79
26,0,0,79
26,0,0,79
26,0,0,83
8,4249.0,739.0,4
26,0,0,79
26,0,0,79
26,133472.0,3401.0,79
14,133472.0,7184.0,111
1,8352.0,3545.0,41
26,53998.0,19777.0,111
5,0,0,26
26,42588.0,1847.0,79
5,37023.0,3446.0,111
26,0,0,31
26,0,0,79
26,33378.0,6670.0,79
26,0,0,79
26,202.0,111.0,79
26,0,0,101
14,7562.0,2810.0,101
8,100022.0,66292.0,101
26,0,0,79
23,0,0,79
26,59498.0,3708.0,65
32,785775.0,62986.0,79
26,0,0,79
8,0,0,25
14,0,0,84
34,0,0,111
15,0,0,79
26,0,0,79
26,30667.0,4887.0,79
13,54763.0,14523.0,79
11,334.0,179.0,111
26,89779.0,9288.0,79
26,0,0,79
23,0,0,79
26,695.0,229.0,79
26,55226.0,31293.0,79
26,0,0,79
26,2497.0,941.0,79
12,0,0,75
26,0,0,79
8,0,0,110
32,20501.0,1082.0,79
33,0,0,101
26,13876.0,3412.0,79
26,5.0,4.0,79
26,565.0,77.0,79
26,938.0,35.0,79
26,135852.0,19517.0,97
8,0,0,111
8,0,0,111
26,0,0,81
14,0,0,79
26,0,0,79
26,417.0,154.0,79
33,495071.0,45630.0,111
24,1592.0,438.0,79
23,0,0,79
26,0,0,79
26,14192.0,2380.0,79
31,0,0,97
26,29021.0,3846.0,79
8,0,0,34
24,17331.0,8832.0,111
26,0,0,79
4,26068.0,2430.0,10
26,0,0,79
26,2947.0,719.0,36
26,9205.0,5545.0,111
26,2975.0,477.0,79
26,43673.0,27609.0,79
8,0,0,79
26,8772.0,1236.0,79
0,13796.0,5672.0,101
26,47958.0,32224.0,101
26,0,0,79
26,35992.0,1088.0,79
26,0,0,79
26,65982.0,9749.0,79
26,179277.0,100373.0,79
26,134492.0,22438.0,79
26,1345.0,1.0,79
9,87008.0,10357.0,108
26,0,0,79
12,21735.0,9639.0,25
13,0,0,79
4,0,0,79
26,0,0,79
26,0,0,79
26,8.0,2.0,79
8,2.0,2.0,111
13,0,0,79
13,21432.0,581.0,79
26,8913.0,2652.0,79
26,55643.0,44434.0,79
26,0,0,79
26,3649.0,568.0,79
13,26918.0,930.0,79
4,98411.0,63183.0,44
26,14955.0,6154.0,39
26,1094.0,253.0,101
26,1972.0,944.0,28
26,15628.0,8004.0,1
8,0,0,47
26,3.0,2.0,79
14,2718.0,1318.0,34
26,14590.0,2125.0,79
26,0,0,79
13,0,0,79
5,3767.0,1876.0,89
26,0,0,79
23,0,0,79
13,14828.0,2863.0,79
13,467.0,291.0,97
26,136293.0,8009.0,115
5,28356.0,13794.0,115
13,7592.0,1916.0,79
8,0,0,9
0,5439.0,1719.0,34
14,22440.0,4863.0,61
26,6142.0,2581.0,97
26,0,0,79
13,1515.0,27.0,79
13,2.0,2.0,79
26,0,0,79
26,0,0,79
23,0,0,79
9,0,0,79
8,10679.0,4278.0,101
26,0,0,79
26,0,0,79
26,10856.0,2090.0,79
26,7257.0,1813.0,79
26,0,0,79
26,164941.0,20426.0,79
26,0,0,79
26,0,0,79
26,0,0,110
26,9784.0,1399.0,79
26,0,0,79
28,0,0,79
12,4222.0,1721.0,31
38,0,0,116
23,0,0,79
26,0,0,79
26,0,0,79
14,376.0,97.0,39
14,3435.0,910.0,109
26,0,0,79
26,0,0,79
26,145026.0,16947.0,101
26,0,0,79
26,1185.0,306.0,79
26,0,0,79
26,0,0,79
26,99516.0,30341.0,79
26,28305.0,2324.0,79
29,20958.0,1527.0,61
12,94296.0,16276.0,79
26,120090.0,2281.0,79
26,16571.0,7826.0,49
26,0,0,79
8,0,0,111
26,0,0,79
26,2734.0,1026.0,79
21,43718.0,12279.0,31
26,0,0,79
26,4202.0,808.0,79
26,0.0,0.0,79
26,77666.0,24283.0,79
26,24171.0,15886.0,79
8,0,0,79
23,0,0,79
12,9737.0,8709.0,44
13,2917.0,552.0,101
14,18670.0,13261.0,60
22,0,0,79
8,23625.0,15366.0,79
26,0,0,23
32,0,0,79
27,7321.0,703.0,99
26,0,0,79
4,0,0,111
26,394.0,86.0,79
26,46386.0,0,101
26,53696.0,8069.0,41
26,2385.0,578.0,79
26,0,0,79
26,1515.0,27.0,79
26,65255.0,10673.0,79
27,3919.0,540.0,81
8,0,0,79
26,78.0,38.0,79
26,15195.0,13727.0,79
8,0,0,79
8,175.0,0,22
23,0,0,79
26,11898.0,6053.0,79
26,0,0,79
26,81.0,9.0,79
26,399.0,84.0,79
26,0,0,119
26,11835.0,1540.0,79
26,148074.0,21909.0,101
26,63991.0,16946.0,79
14,0,0,101
33,114072.0,89939.0,111
26,75.0,14.0,79
26,0,0,79
26,0,0,79
8,0,0,36
14,1418.0,739.0,61
8,0,0,31
26,0,0,79
26,0,0,79
23,0,0,79
18,17023.0,12891.0,34
5,27330.0,3295.0,63
30,6954.0,3461.0,101
26,102.0,25.0,79
14,1506.0,1976.0,15
8,0,0,25
26,2824.0,2715.0,79
14,757.0,528.0,39
8,0,0,79
26,10282.0,4469.0,31
8,90.0,36.0,23
19,0,0,79
26,1495.0,1392.0,34
32,4913.0,4268.0,34
26,123942.0,41808.0,101
26,2282.0,533.0,79
28,0,0,111
8,6189.0,400.0,111
26,0,0,79
26,28794.0,9000.0,111
4,4200.0,3521.0,111
26,137.0,45.0,96
15,137.0,555.0,75
26,137.0,0.0,79
7,340.0,49.0,105
5,0,0,111
14,0,0,34
26,461.0,55.0,79
26,130158.0,26462.0,79
8,0,0,51
5,0,0,51
5,4012.0,2278.0,53
26,0,0,79
8,0,0,39
14,0,0,39
33,4012.0,1067.0,54
26,2066.0,97.0,79
14,357.0,226.0,97
7,22649.0,4836.0,79
26,0,0,79
0,5944.0,2893.0,75
26,6527.0,809.0,79
14,0,0,39
26,0,0,79
26,39.0,18.0,79
26,1502.0,773.0,79
26,669.0,25.0,79
26,0,0,79
15,2778.0,1582.0,39
8,0,0,79
26,40870.0,24134.0,79
8,0,0,23
26,1222.0,520.0,79
8,0,0,119
26,0,0,79
33,0,0,79
12,0,0,79
8,0,0,101
26,0,0,79
11,13613.0,2874.0,36
19,0,0,111
5,322.0,148.0,111
33,0,0,111
10,0,0,18
26,0,0,79
26,136342.0,46661.0,79
26,0,0,79
8,0,0,79
9,0,0,44
5,0,0,111
26,8419.0,540.0,79
26,1279.0,77.0,79
13,0,0,54
15,170.0,92.0,79
26,0,0,79
26,0,0,79
26,0,0,79
26,0,0,67
26,0,0,79
8,0,0,81
4,48848.0,9892.0,79
26,0,0,79
26,0,0,79
26,0,0,79
26,550.0,7.0,79
26,0,0,79
26,0,0,79
5,8971.0,2067.0,101
26,6190.0,4832.0,79
23,0,0,79
26,4286.0,483.0,79
8,0,0,79
26,0,0,79
12,60252.0,13573.0,111
15,690.0,288.0,80
26,205961.0,22465.0,111
26,15201.0,1590.0,79
26,82481.0,41023.0,79
27,1785.0,250.0,39
11,42250.0,22101.0,101
26,0,0,79
26,0,0,39
26,0,0,28
26,0,0,79
26,67982.0,3585.0,79
19,0,0,25
4,265368.0,143523.0,25
4,5316.0,2509.0,78
5,53368.0,9541.0,39
9,21829.0,9377.0,25
8,0,0,97
26,66484.0,62167.0,79
35,2249131.0,152316.0,79
8,0,0,79
8,90.0,45.0,80
4,384.0,207.0,44
26,9426.0,771.0,79
26,0,0,79
26,7223.0,3935.0,79
0,33117.0,12812.0,34
26,781.0,97.0,79
26,0,0,79
26,25927.0,5748.0,79
19,522.0,123.0,39
26,17306.0,4394.0,101
18,42320.0,6579.0,49
26,0,0,79
26,0,0,63
4,27012.0,4366.0,101
26,0,0,79
26,0,0,79
26,51227.0,7863.0,79
26,0,0,111
26,0,0,79
8,0,0,36
20,33352.0,5216.0,41
26,0,0,79
26,0,0,79
26,0,0,79
26,0,0,111
26,85170.0,1257.0,79
26,0,0,79
28,0,0,79
8,0,0,79
26,343785.0,185139.0,115
26,0,0,79
26,5996.0,1541.0,14
26,0,0,79
26,0,0,79
26,3336.0,855.0,79
3,0,0,25
26,635.0,135.0,79
14,29104.0,5606.0,27
19,0,0,79
26,267222.0,129765.0,79
26,896.0,29.0,79
3,19467.0,4973.0,111
26,441.0,135.0,79
26,67434.0,11405.0,79
26,79664.0,58223.0,101
26,35823.0,18782.0,23
14,0,0,34
26,121267.0,55902.0,79
13,5868.0,1477.0,39
26,0,0,79
26,0,0,79
4,4.0,2.0,61
26,53.0,4.0,79
26,0,0,79
26,827.0,484.0,79
26,8012.0,2550.0,79
13,23267.0,3174.0,79
8,0,0,101
26,0,0,79
26,24556.0,9485.0,79
5,43540.0,12824.0,66
4,0,0,23
26,35540.0,3438.0,79
12,377108.0,30877.0,7
26,17274.0,5671.0,79
8,1501.0,292.0,87
24,141245.0,35053.0,41
26,0,0,79
26,4582.0,2563.0,79
26,518.0,147.0,79
5,39190.0,4335.0,10
8,0,0,79
0,0,0,79
0,1200.0,92.0,101
26,50162.0,49050.0,79
28,0,0,79
14,0,0,97
8,5851.0,650.0,79
26,0,0,79
8,0,0,22
26,0,0,79
5,560.0,166.0,109
12,114.0,43.0,1
26,0,0,79
26,40624.0,23315.0,79
5,0,0,47
4,0,0,34
26,66479.0,6115.0,79
26,14602.0,3141.0,111
8,3556.0,1473.0,111
26,353.0,251.0,54
23,0,0,79
23,0,0,79
26,2379.0,312.0,79
26,297766.0,27808.0,25
16,198359.0,37608.0,79
26,221.0,60.0,79
28,0,0,79
37,0,0,111
26,0,0,79
23,0,0,79
10,78.0,14.0,23
26,0,0,79
26,0,0,79
26,0,0,79
31,27320.0,3607.0,79
28,0,0,79
13,65613.0,4379.0,79
26,0,0,79
9,50870.0,27873.0,80
5,0,0,111
26,0,0,79
14,0,0,108
26,743.0,89.0,79
