market_data_low_24h_usd,KW16,KW19,KW9,KW36,developer_data_commit_count_4_weeks,KW1,market_data_circulating_supply
0.00167661,0.0026067882416048985,0.0024945855171105767,0.003268016605222265,0.002356877018441757,2,0.006019061769509662,86277000000000.0
0.194051,0.3329892475515569,0.2556365667764375,0.2484049026668852,0.15961035385705513,136,0.31652370286022136,6008030000000000.0
0.00071442,0.002184954868622228,0.002077448381967968,0.003350004935853751,0.0009866124861903753,4,0.0023407200351410608,440000000.0
0.02113976,0.0,0.0,0.0,0.0,0,0.0,0.0
0.00088701,0.0,0.0,0.0,0.0008870106032193045,0,0.0,0.0
0.01279571,0.0,0.0,0.0,0.03647947129447603,0,0.0,0.0
0.8413280000000001,0.6130932818400942,0.8823091436189727,6492380000000000.0,3595210000000000.0,0,0.0,0.0
0.01332844,0.0,0.0,0.0,0.042337015493004615,0,0.0,0.0
0.71163,0.0,0.0,0.0,0.7207830551545856,0,0.7329974432805223,23795590465.0
0.02612508,0.02242250297750852,0.021260196590968915,0.014046250806327171,0.02063983436871917,0,0.046415428254820375,20981449.9
0.04999076,0.14614782364706588,0.1839468390125964,0.7732009864277559,0.101339710450832,0,0.6410191962120289,373367000000000.0
0.01229112,0.0,0.0,0.0,0.0,0,0.0,0.0
0.00494561,0.006317613241754736,0.0,0.0,0.004337659019584397,1,0.0035442718398430596,4888400000000.0
0.0666,0.0008896015689845053,0.0008596467958307697,0.0010995513262337876,0.000105512924261964,0,0.001504572401342483,522111000000000.0
0.100861,0.0,0.0,0.0,0.0,0,0.0,3232803.0
7e-07,0.0,0.0,0.0,0.0,0,0.0,0.0
0.02477204,0.03635996746940156,0.02771876521863942,0.033254353514306174,0.026104100428471083,0,0.0,0.0
2.3100000000000002e-05,145000000000.0,1540000000.0,566000000000.0,363000000000.0,0,0.0,1216035175.0
0.00024912,0.0016929658611943743,0.0009217486224577664,0.004541161046337816,0.000317332824995661,0,0.001206560626329552,0.0
1.8e-07,0.0,6100000000.0,0.0,0.0,0,0.0,0.0
0.00098785,0.0,0.0,0.0,0.0009878546460252075,0,0.001885250978639925,0.0
8.38e-06,0.0,0.0,0.0,123000000000.0,0,0.0,0.0
0.00023199,0.001549581451661582,0.0013130766004353265,0.0006341031083105304,0.0002558232594611001,0,0.0010274921459034654,0.0
0.0552,0.0,0.0,0.0,65500000000.0,0,0.0,0.0
0.0,35500000.0,167000000.0,9800000.0,608000.0,0,101000000.0,0.0
2e-08,0.0,0.0,0.0,171000000.0,0,0.0,0.0
0.00066665,0.0,0.0,0.0,0.0,0,0.0,0.0
0.07572999999999999,0.11324139069897615,0.08026012947706307,0.0,0.0,0,0.0,0.0
0.01044839,0.0,0.0,0.0,0.010448386197332078,0,0.0,0.0
0.00083377,0.0,0.28641829208520525,0.0,0.0,0,0.0,0.0
0.0294,0.0,0.0,0.0,3180000000.0,0,0.0,0.0
0.00878722,0.012957099784089491,0.010888156545844196,0.015808308888442348,0.008787215368645511,0,0.0,0.0
0.04169838,0.0959906069069476,0.0462704704694366,0.059882493287257366,0.04004980485269136,0,0.13271646226153286,45671975.0
0.00827393,0.0,0.0,0.0,0.00827393394202022,0,0.0,0.0
0.0826,0.0,0.0,0.00038924161218004035,0.000210702488962332,0,0.0,150000000.0
0.0792,0.00016277141145117782,0.00011803303194479253,0.00017670320155878746,0.0,0,0.00034869268617011503,0.0
0.00272471,0.0,0.0,0.003231300840989574,0.004873542274062908,0,0.014343994013211694,0.0
0.00230096,0.0,0.0,0.0,0.0019164068959053294,0,0.0,0.0
0.00228939,0.006213542451038777,0.007853577039673475,0.014144671222572366,0.0029545388818562053,0,0.023533128016689067,134115000000000.0
0.0173,0.0001047452996036626,95600000000.0,0.0,45500000000.0,0,0.0009727144814155668,0.0
0.00126985,0.0074989476381199125,0.006658972599596035,0.005924010711442803,0.0015274749547787927,0,0.003723628594188953,5333040000000.0
0.03223549,0.0,0.01606126266910209,0.07310913191468496,0.0,0,0.0,0.0
0.0348,0.0,0.0,0.0,0.0,0,0.0,0.0
0.00260756,0.008324858221156202,0.006450234404567481,0.010195370958019085,0.002422924649398366,0,0.007846086694772506,0.0
0.041461000000000005,0.016387410142065892,0.00798989748605352,0.1382969569300207,0.0,0,0.2117245125413316,8253450000000000.0
0.00662268,0.011151971907562595,0.011965537065293836,0.007316433966160327,0.0,0,0.0,0.0
0.00577384,0.0,0.0,0.0,0.0057738447039804896,0,0.0,0.0
0.00713228,0.017311272453287202,0.01508325595984591,0.05032693377685697,0.008362559990689635,0,0.02107922970259161,86282600000000.0
0.00743871,0.0,0.016062512622570392,0.0,0.007655334024659461,0,0.007276093663355753,857440445.0
0.02612257,0.012699775107227982,0.0,0.00600008210529766,0.01942208663233614,0,0.005467778724285839,0.0
0.00101072,0.016202928790119427,0.01946066516963484,0.001144661116986891,0.02613175067895966,0,0.005071048549261018,0.0
0.00030061,0.00026219048883249047,0.00011816088405229141,0.0003438138117762783,0.00030061128837441,0,0.0,0.0
31382.0,0.0,1.30652e+16,0.0,1.30055e+16,0,0.0,0.0
0.03600064,0.029286245797713956,0.02000890092191497,0.02957758845493,0.0,0,0.02918850385157081,14090291.0
4.33e-05,7310000000.0,57200000000.0,475000000000.0,43000000000.0,0,99000000000.0,0.0
0.0321,13600000000.0,240000000000.0,93800000000.0,32100000000.0,0,47800000000.0,0.0
0.00244393,0.004344160148767915,0.004584973239993346,0.002406942840756281,0.003399800357441716,0,0.002780899402998505,566000010.0
