transaction_count,holder_count,market_data_current_price_usd,market_data_ath_usd,market_data_total_supply,market_data_circulating_supply,public_interest_stats_bing_matches,labels_categories_0,labels_country_origin,labels_ico_data_country_origin,labels_ico_data_hardcap_currency,labels_ico_data_softcap_currency,labels_ico_data_total_raised_currency
48262.14103819784,13576.305982347172,0.00167661,0.03418169,65658824.0,86277000000000.0,23900.0,23,79,59,23,15,7
975773.0,109840.0,0.23156100000000002,43587.0,1000000000.0,6008030000000000.0,686000.0,29,111,82,23,15,10
22730.0,13914.0,0.00071736,0.04374969,500000000.0,440000000.0,27500.0,29,102,76,14,8,10
125.0,51.0,0.03360274,43505.0,5000000.0,0.0,27500.0,26,79,59,23,15,7
16417.0,6250.0,0.00088701,0.03084309,10000000.0,0.0,703000.0,26,79,59,23,15,7
14377.0,4396.0,0.01345523,0.129215,5000000000.0,0.0,38200.0,26,79,59,23,15,7
47601.0,3804.0,0.9271940000000001,17.37,100000000.0,0.0,87200.0,8,40,59,23,15,7
507.0,186.0,0.01341833,0.06802799999999999,1000000.0,0.0,2020000.0,5,38,59,23,15,7
1574.0,135.0,0.719827,0.9719620000000001,22227000.0,23795590465.0,2110000.0,8,101,59,23,15,7
36173.0,29127.0,0.03035806,0.622159,37219452.0,20981449.9,556000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.050078,19937.0,21000000.0,373367000000000.0,137000.0,26,39,59,23,15,7
48262.14103819784,13576.305982347172,0.01229112,0.053045,1500000000.0,0.0,30100.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00531083,0.02073327,17910000.0,4888400000000.0,82000.0,34,111,59,23,15,7
48262.14103819784,13576.305982347172,0.0841,0.049980000000000004,500000000.0,522111000000000.0,28200.0,26,79,59,23,15,7
20519.0,18554.0,0.10158400000000001,43556.0,100000000.0,3232803.0,16000.0,18,44,33,35,8,10
48262.14103819784,13576.305982347172,7e-07,1.98e-06,100000000.0,0.0,52000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.02492193,0.04267611,300000000.0,0.0,850000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0261,0.001816,2141889591178998.0,1216035175.0,5570000.0,26,111,59,23,15,7
996.0,93.0,0.00025227,0.008927500000000001,300000000.0,0.0,942000.0,8,107,59,23,15,7
8605.0,7154.0,1.8e-07,0.0029920000000000003,100000000000.0,0.0,27400.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00098785,0.427314,75000000.0,0.0,27400.0,15,111,82,23,15,7
4246.0,1500.0,8.38e-06,0.0885,50200000000.0,0.0,6800000.0,26,79,59,23,15,7
57601.0,41341.0,0.00023199,0.02692323,10000000000.0,0.0,27900.0,0,44,33,35,1,10
10194.0,4623.0,0.0611,0.00152442,1000000000000.0,0.0,76700.0,32,80,59,23,15,7
48262.14103819784,13576.305982347172,0.0,0.00046476,2141889591178998.0,0.0,85900.0,26,79,59,23,15,7
4550.0,693.0,2e-08,4e-08,8080808080808.0,0.0,27500.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00080646,0.00718388,2141889591178998.0,0.0,26900.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.081224,28946.0,100000000.0,0.0,27300.0,15,97,59,23,15,7
48262.14103819784,13576.305982347172,0.01044839,90.79,2141889591178998.0,0.0,36100000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00219101,22951.0,21000000.0,0.0,27400.0,24,83,59,23,15,7
48262.14103819784,13576.305982347172,2.5e-05,0.0472,261978248.0,0.0,15800000.0,8,120,59,23,15,7
48262.14103819784,13576.305982347172,0.00878722,0.628152,2141889591178998.0,0.0,273000.0,26,79,59,23,15,7
6583.0,243.0,0.04558235,23802.0,146015625.0,45671975.0,297000.0,13,79,59,23,15,7
8.0,6.0,0.00827393,0.00828236,10000000000.0,0.0,57900.0,26,79,59,23,15,7
1721.0,1103.0,0.0001691,0.00159435,500000000.0,150000000.0,27600.0,9,9,59,23,15,7
1210.0,149.0,0.0792,0.00601079,1000000000.0,0.0,63400000.0,26,79,59,23,15,7
14113.0,2433.0,0.00330052,0.096859,5000000000.0,0.0,220000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00261768,0.02310548,20000000000.0,0.0,62100.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00238765,0.405898,52500000.0,134115000000000.0,5270000.0,24,39,59,23,15,7
4414.0,943.0,0.036000000000000004,0.099598,397000000.0,0.0,26800.0,9,118,88,14,8,7
48262.14103819784,13576.305982347172,0.00127285,0.427464,550000000.0,5333040000000.0,76200.0,26,79,59,23,15,7
2222.0,1117.0,0.03223549,0.745815,185641368.0,0.0,20600000.0,10,111,82,35,15,7
48262.14103819784,13576.305982347172,0.0679,0.02113536,45000000000.0,0.0,74900000.0,14,1,59,23,15,7
48262.14103819784,13576.305982347172,0.00264245,0.121773,500000000.0,0.0,70600.0,26,79,59,23,15,7
24245.0,8983.0,0.041461000000000005,22.68,1266392.0,8253450000000000.0,95200.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00974639,26330.0,2141889591178998.0,0.0,85000.0,26,79,59,23,15,7
4249.0,3520.0,0.00577384,0.0103096,70000000.0,0.0,33400000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00851025,0.45632,25000000.0,86282600000000.0,11900000.0,12,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00969603,17533.0,1000000000.0,857440445.0,71600.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.02612257,0.442507,2141889591178998.0,0.0,151000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.01886196,0.12803599999999998,20500000.0,0.0,816000.0,23,111,82,23,15,7
48262.14103819784,13576.305982347172,0.00030061,0.598753,25000000.0,0.0,85100.0,30,101,59,23,15,7
48262.14103819784,13576.305982347172,43478.0,13.69,100000000.0,0.0,468000.0,18,97,59,23,15,7
48262.14103819784,13576.305982347172,0.0398063,0.22809899999999997,84000000.0,14090291.0,27000.0,27,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0477,0.00033362,10000000000.0,0.0,2670000.0,38,22,59,23,15,7
48262.14103819784,13576.305982347172,0.0321,0.00080329,8000000000.0,0.0,85200.0,34,39,59,23,15,7
54889.0,8966.0,0.00265118,0.234028,1000000000.0,566000010.0,3840000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00870767,0.055126,100671565.0,102607977.5,26900.0,7,48,35,35,15,7
27637.0,4454.0,0.00040543,0.02881385,1000000000.0,6918820000000000.0,27200.0,5,22,15,14,15,10
1852.0,220.0,0.18956099999999998,43466.0,200000000.0,0.0,6090000.0,26,79,59,23,15,7
6208.0,2643.0,0.00094598,0.00865999,500000000.0,0.0,168000000.0,8,78,59,23,15,7
858.0,306.0,0.00294241,100.45,100000000.0,0.0,27300.0,26,50,37,23,15,10
48262.14103819784,13576.305982347172,0.00033571,0.057680999999999996,38000000.0,0.0,27400.0,8,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00036199,0.00172036,260000000.0,0.0,27400.0,37,18,59,23,15,7
149610.0,13025.0,0.06300599999999999,17958.0,100000000.0,920454000000.0,49900.0,24,97,71,14,15,10
164.0,118.0,0.616432,18660.0,1000000000.0,0.0,131000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0844,2946.66,2141889591178998.0,0.0,27300.0,5,111,59,23,15,7
17446.0,12605.0,0.00078722,0.07257899999999999,1000000000.0,236630000.0,27100.0,26,101,75,35,15,10
48262.14103819784,13576.305982347172,0.0706,0.03642698,2141889591178998.0,0.0,176000.0,8,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0001509,0.00083864,100000000.0,0.0,45500000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00022688,0.093476,232000000.0,0.0,1650000.0,8,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00260839,0.01009132,1000000000.0,0.0,24300.0,38,47,59,23,15,7
5696.0,928.0,0.06763999999999999,42036.0,38758203.0,34851700000000.0,2470000.0,5,71,53,35,25,10
13940.0,1517.0,0.00263432,0.207525,1000000000.0,824000000.0,93700.0,4,79,59,23,15,10
48262.14103819784,13576.305982347172,0.00025437,0.10845899999999999,100000000.0,0.0,26500.0,23,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00013775,0.00638242,2141889591178998.0,0.0,44600000.0,23,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00226997,0.18253,31415826000.0,210713000000000.0,124000.0,8,22,59,23,15,7
1596.0,697.0,0.00068692,0.04932997,85000000.0,0.0,27400.0,5,51,59,23,15,7
48262.14103819784,13576.305982347172,0.00102791,0.161113,84000000.0,65351920.0,86300.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00091648,0.318662,21000000.0,402643000000000.0,27200.0,23,79,59,23,15,7
355505.0,50651.0,0.072132,43618.0,879999999.0,461329999.0,58200.0,18,79,59,23,15,7
19621.0,9161.0,0.034574400000000005,0.10792,4000000000.0,0.0,27100.0,16,44,33,35,25,7
51804.0,4163.0,0.04462826,0.5169699999999999,500000000.0,111986440.65,32000.0,32,61,45,35,15,10
48262.14103819784,13576.305982347172,0.00042552,0.04966078,2141889591178998.0,0.0,25000.0,8,18,59,23,15,7
89585.0,23383.0,0.170775,46266.0,20000000.0,20000000.0,40100.0,26,21,14,23,15,10
